"","Nazwa","Cena.sprzeda¿y","Jednostka.miary","Koszt.jednostkowy.sprzeda¿y"
"887","P³yta OSB 3 22/2,5x1,25 P+W","79","szt","67,89"
"888","P³yta Spano 22mm 2500x1250","79","szt","54,66"
"889","Folia Typ 200","0,8","m2","0,36"
"890","Wkrêt do p³yt gips.4,2x70 D","15","kg","7,34"
"891","P³yta Spano 22mm P+W /81,0 x 247,6","40","szt","35,96"
"892","Bravo Tynk Akrylowy Baranek 1,5 mm Bia³y","3,85","kg","2,33"
"893","Pigment CX","50","L","26"
"894","Wyprawa Kwarc-grunt7 kg","30","szt","20,69"
"895","Cement  II B-V 32,5 R","8,95","szt","7,37"
"896","Styropian Dach/pod³oga","144","m3","119,63"
"897","Wyprawa Kwarc - grunt 4 kg","20,33","szt","12,71"
"898","Paleta G-K zwrotna","100","szt","97,13"
"899","Papa V80 S42 wierzchniego krycia","8,13","m2","5,8"
"900","Dysperbent 20 kg","47,5","szt","37,5"
"901","Cement  II B-V 32,5 R","9,75","szt","7,37"
"902","Atlas Klej uelastyczny 25 kg","26","szt","13,82"
"903","Klej do styropianu 25 kg","13,8","szt","8,8"
"904","Nida tynk cem-wap lekki wew. 30 kg","16","szt","7,41"
"905","Siatka z w³ókna szklanego","2","m2","1,22"
"906","Grunt 5l","15","szt","5"
"907","Teg. Ostrze ³amane 18mm/PERFEKT","3,65","kpl","2,47"
"908","Taœma mal.Strong 48mm x 50m ¿ó³ta","5,3","szt","2,8"
"909","Zaprawa tynkarska 25 kg","7,3","szt","4,91"
"910","CW  50/3 M Profil œcienny Odwrotne Obci¹¿enie","8","szt","5,57"
"911","Zaprawa posadzkowa 25 kg","8","szt","4,9"
"912","Zaprawa tynkarska 25 kg","7,3","szt","4,91"
"913","Pianka wê¿. Niskoprê¿na 750 ml","16,2","szt","10,46"
"914","Pianka Pistoletowa niskoprê¿na 750 ml","17,8","szt","10,27"
"915","Zaprawa murarska 25 kg","7,3","szt","4,79"
"916","MP75 Lekki 30 kg","19,5","szt","13,81"
"917","P³yta Spano 12 mm 2500x1250","47,15","szt","30,73"
"918","Folia Fundamentowa","4,07","m2","2,52"
"919","Prêt gwin. ocyn. M12x1000","5,69","szt","3,49"
"920","MP75 Lekki 30 kg","16,26","szt","13,81"
"921","Masa Izalacyjna Den Bit-D rozpuszcz.bit.10 kg","52","szt","42"
"922","Zaprawa posadzkowa 25 kg","6,5","szt","4,9"
"923","Atlas Plus op 22,50 kg","40","szt","36,89"
"924","Atlas Gipsar uni 20 kg","21,5","szt","18,96"
"925","Cement  II B-V 32,5 R","8,9","szt","7,37"
"926","Siatka z w³ókna szklanego","1,6","m2","1,22"
"927","Atlas zaprawa gruntuj¹ca 5kg","24,4","szt","20,44"
"928","Taœma mal.Strong 38mm x 50m ¿ó³ta","3,25","szt","2,18"
"929","Folia malarska EX gruba4x5","3,25","szt","1,98"
"930","P³yta GKB  12,5/2,6","5,6","m2","3,79"
"931","GHB Klej Gipsowy KMK A 20","14,65","szt","10,27"
"932","Wyprawa Kwarc - grunt 4 kg","18","szt","12,71"
"933","KM Zapas 15 Moltopren mid","1,5","szt","1,27"
"934","Œn Supermal emal.olej.Br¹zowa 0,8l","15","szt","9,98"
"935","KM Pêdzel p³aski 50","5,28","szt","3,7"
"936","Lakier vidaron superlak 0,75 l","19,5","szt","13,74"
"937","klej do siatki Platinum 25 kg","20,33","szt","13,5"
"938","Klej do styropianu 25 kg","13,82","szt","8,8"
"939","Naro¿nik al z siatk¹  14,3 -2,5 m","2,85","szt.","1,33"
"940","Naro¿nik aluminiowy z siatka 3,0 m x 14,3 cm","3,25","szt","1,6"
"941","","0","","0"
